ID,Age,Partial Discharge,Visual Condition,Natural Corrosion,Loading,Health Index
222,36,0.39,Poor,0.79,71,3
223,51,0.95,Poor,0.99,427,1
224,42,0.59,Poor,0.9,354,2
225,30,0.26,Poor,0.68,322,3
226,22,0.12,Medium,0.55,538,4
227,21,0.11,Medium,0.57,515,4
228,15,0.05,Good,0.45,560,5
229,50,0.88,Poor,0.92,644,1
230,31,0.28,Poor,0.72,152,3
231,29,0.25,Medium,0.73,423,4
232,17,0.07,Medium,0.49,227,4
233,41,0.54,Poor,0.82,222,3
234,16,0.06,Good,0.45,430,5
235,41,0.54,Poor,0.81,506,3
236,18,0.08,Medium,0.49,631,4
237,15,0.05,Good,0.44,454,5
238,29,0.24,Medium,0.72,276,4
239,48,0.76,Poor,0.91,564,2
240,23,0.13,Medium,0.63,390,4
241,51,0.95,Poor,0.95,290,1
242,35,0.36,Poor,0.73,540,3
243,47,0.77,Poor,0.9,190,2
244,37,0.42,Poor,0.84,272,3
245,24,0.15,Medium,0.61,442,4
246,25,0.17,Medium,0.62,492,4
247,15,0.05,Good,0.46,359,5
248,39,0.48,Poor,0.83,375,3
249,34,0.35,Poor,0.76,326,3
250,27,0.2,Poor,0.63,210,3
251,33,0.33,Poor,0.74,82,3
252,50,0.91,Poor,0.93,154,1
253,34,0.35,Poor,0.74,497,3
254,49,0.83,Poor,1,618,2
255,48,0.79,Poor,0.99,337,2
256,45,0.71,Poor,0.94,107,2
257,17,0.07,Good,0.48,445,5
258,25,0.16,Medium,0.6,168,4
259,38,0.45,Poor,0.86,370,2
260,50,0.89,Poor,0.92,323,1
261,26,0.17,Medium,0.65,70,4
262,27,0.2,Medium,0.64,458,4
263,43,0.58,Poor,0.87,211,2
264,16,0.06,Good,0.49,585,5
265,17,0.07,Good,0.5,365,5
266,27,0.2,Medium,0.63,645,4
267,40,0.51,Poor,0.81,114,3
268,15,0.05,Good,0.44,277,5
269,51,0.87,Poor,0.97,441,2
270,22,0.12,Medium,0.59,366,4
271,15,0.05,Good,0.48,288,5
272,41,0.53,Poor,0.82,542,2
273,29,0.24,Poor,0.67,160,3
274,28,0.22,Poor,0.63,582,3
275,51,0.92,Poor,0.91,620,1
276,39,0.48,Poor,0.85,135,3
277,15,0.05,Good,0.46,250,5
278,37,0.44,Poor,0.76,474,3
279,30,0.25,Poor,0.68,128,3
280,33,0.34,Poor,0.77,549,3
281,38,0.44,Poor,0.8,551,3
282,18,0.08,Medium,0.54,640,4
283,16,0.06,Good,0.5,294,5
284,42,0.58,Poor,0.9,448,2
285,51,0.89,Poor,1,588,1
286,42,0.6,Poor,0.84,301,3
287,43,0.6,Poor,0.85,302,2
288,16,0.06,Good,0.48,106,5
289,41,0.53,Poor,0.86,171,3
290,16,0.06,Good,0.49,282,5
291,41,0.53,Poor,0.88,216,2
292,34,0.36,Poor,0.76,647,3
293,49,0.84,Poor,0.92,648,2
294,35,0.38,Poor,0.78,580,3
295,22,0.13,Medium,0.59,71,4
296,39,0.49,Poor,0.87,535,3
297,49,0.81,Poor,0.95,312,2
298,52,0.99,Poor,0.99,225,1
299,15,0.05,Good,0.46,272,5
300,42,0.56,Poor,0.89,581,2
301,49,0.8,Poor,0.92,604,2
302,52,0.99,Poor,0.98,348,1
303,32,0.29,Poor,0.77,194,3
304,22,0.13,Medium,0.55,492,4
305,52,0.98,Poor,0.96,501,1
306,20,0.1,Medium,0.56,248,4
307,29,0.25,Poor,0.67,110,3
308,36,0.38,Poor,0.81,139,3
309,38,0.47,Poor,0.84,443,3
310,40,0.51,Poor,0.89,284,3
311,50,0.88,Poor,1,457,1
312,18,0.08,Medium,0.48,616,4
313,15,0.05,Good,0.45,303,5
314,24,0.16,Medium,0.6,78,4
315,44,0.65,Poor,0.84,577,2
316,17,0.07,Good,0.48,259,5
317,42,0.6,Poor,0.83,593,2
318,26,0.18,Medium,0.68,191,4
319,49,0.85,Poor,0.99,408,2
320,51,0.89,Poor,1,374,1
321,21,0.11,Medium,0.54,533,4
322,38,0.43,Poor,0.86,414,3
323,23,0.14,Medium,0.58,624,4
324,19,0.09,Medium,0.56,342,4
325,15,0.05,Good,0.45,559,5
326,38,0.44,Poor,0.86,254,2
327,17,0.07,Good,0.52,188,5
328,52,0.94,Poor,0.98,295,1
329,38,0.46,Poor,0.8,557,3
330,50,0.88,Poor,0.94,345,1
331,49,0.88,Poor,1,314,1
332,30,0.26,Poor,0.69,521,3
333,19,0.09,Medium,0.55,362,4
334,15,0.05,Good,0.48,280,5
335,20,0.1,Medium,0.56,306,4
336,29,0.23,Poor,0.72,523,3
337,17,0.07,Good,0.48,519,5
338,17,0.07,Good,0.52,70,5
339,37,0.43,Poor,0.79,589,3
340,39,0.51,Poor,0.8,564,3
341,29,0.22,Poor,0.67,366,3
342,41,0.52,Poor,0.88,241,2
343,43,0.6,Poor,0.91,250,2
344,51,0.94,Poor,0.97,246,1
345,26,0.18,Medium,0.68,511,4
346,46,0.69,Poor,0.92,430,2
347,39,0.47,Poor,0.85,74,2
348,26,0.19,Medium,0.62,144,4
349,15,0.05,Good,0.44,647,5
350,49,0.86,Poor,0.92,207,2
351,15,0.05,Good,0.49,94,5
352,15,0.05,Good,0.44,630,5
353,20,0.1,Medium,0.56,113,4
354,25,0.16,Medium,0.64,328,4
355,30,0.25,Poor,0.66,191,3
356,16,0.06,Good,0.46,543,5
357,52,0.95,Poor,0.94,396,1
358,39,0.48,Poor,0.82,482,2
359,16,0.06,Good,0.5,154,5
360,16,0.06,Good,0.49,493,5
361,24,0.14,Medium,0.61,603,4
362,16,0.05,Good,0.49,570,5
363,20,0.1,Medium,0.58,361,4
364,50,0.91,Poor,0.93,629,1
365,24,0.14,Medium,0.59,134,4
366,19,0.08,Medium,0.54,286,4
367,50,0.88,Poor,0.93,326,1
368,20,0.09,Medium,0.52,541,4
369,31,0.27,Poor,0.76,545,3
370,17,0.06,Good,0.5,535,5
371,43,0.63,Poor,0.89,611,2
372,43,0.62,Poor,0.87,227,2
373,34,0.35,Poor,0.74,646,3
374,42,0.59,Poor,0.9,598,2
375,49,0.88,Poor,0.95,118,1
376,17,0.07,Medium,0.5,247,4
377,21,0.1,Medium,0.58,434,4
378,22,0.12,Medium,0.58,627,4
379,16,0.06,Good,0.5,434,5
380,17,0.07,Good,0.47,221,5
381,33,0.34,Poor,0.79,332,3
382,47,0.74,Poor,0.94,162,2
383,15,0.05,Good,0.46,237,5
384,18,0.08,Good,0.55,350,5
385,35,0.37,Poor,0.73,87,3
386,50,0.84,Poor,0.96,142,2
387,27,0.2,Medium,0.67,159,4
388,15,0.05,Good,0.45,573,5
389,28,0.22,Poor,0.63,634,3
390,24,0.15,Medium,0.62,519,4
391,24,0.14,Medium,0.6,618,4
392,51,0.9,Poor,0.99,605,1
393,19,0.08,Medium,0.51,223,4
394,35,0.38,Poor,0.79,85,3
395,21,0.1,Medium,0.53,352,4
396,45,0.7,Poor,0.94,375,2
397,50,0.88,Poor,0.99,234,1
398,35,0.38,Poor,0.74,62,3
399,43,0.59,Poor,0.88,261,2
400,17,0.07,Good,0.52,215,5
401,15,0.05,Good,0.47,390,5
402,16,0.06,Good,0.5,575,5
403,51,0.95,Poor,1,564,1
404,29,0.23,Poor,0.7,467,3
405,16,0.06,Good,0.48,139,5
